Work,Year,Case Study,Prediction Target,Dataset Type,Data Rate,Period (Days),Open Data,Algorithm,Time Granularity,Evaluation Metric
"Just, A.C.; Arfer, K.B.; Rush, J.; Dorman, M.; Shtein, A.; Lyapustin, A.; Kloog, I. Advancing methodologies for applying machine learning and evaluating spatiotemporal models of fine particulate matter (PM2.5) using satellite data over large regions. Atmospheric Environment 2020, 239,  117649",2020,USA,PM2.5,"Spatial, Temporal, AOD, PBL Height",Daily,5779,No,Hybrid,24h,"RMSE, SD, R2"
"Xu, J.; Wang, A.; Schmidt, N.; Adams, M.; Hatzopoulou, M.  A gradient boost approach for predicting near-road ultrafine particle concentrations using detailed traffic characterization. Environmental Pollution 2020, p. 114777.",2020,Canada,UFP,"MET, Traffic, Land Use, BEV",N/S,120,No,Ensemble,,"RMSE, R2"
"Chang, Y.S.;  Abimannan, S.;  Chiao, H.T.;  Lin, C.Y.;  Huang, Y.P.   An ensemble learning based hybrid model and framework for air pollution forecasting. Environmental Science and Pollution Research2020, 27, 38155–38168",2020,Taiwan,"PM2.5, PM10",MET,N/S,2192,No,Hybrid,8h,"RMSE, MAE"
"Li,  Z.;  Yim,  S.H.L.;  Ho,  K.F.   High  temporal  resolution  prediction  of  street-level  PM2.5  and  Nox concentrations using machine learning approach. Journal of Cleaner Production 2020, p. 121975.",2020,China,"PM2.5, NOx","MET, Traffic",Hourly,731,No,"Regression, Ensemble",1h,"RMSE, ME, NRMSE, NME, POD, POF, R2"
"Ma, J.; Ding, Y.; Cheng, J.C.; Jiang, F.; Gan, V.J.; Xu, Z.  A Lag-FLSTM deep learning network based on Bayesian Optimization for multi-sequential-variant PM2. 5 prediction. Sustainable Cities and Society 2020, 60, 102237",2020,USA,PM2.5,"MET, Temporal",Hourly,730,No,NN,,"RMSE, MAE, MAPE"
"Shah, J.; Mishra, B. Analytical Equations based Prediction Approach for PM2. 5 using Artificial Neural Network.arXiv preprint  arXiv:2002.11416 2020",2020,India,PM2.5,MET,Hourly,1230,No,NN,,"RMSE, R2"
"Castelli, M.; Clemente, F.M.; Popovi?c, A.; Silva, S.; Vanneschi, L. A Machine Learning Approach to Predict Air Quality in California. Complexity 2020, 2020",2020,USA,AQI,MET,Hourly,851,Yes,Regression,1h,"RMSE, MAE, NRMSE, R"
"Bozda  ?g, A.; Dokuz, Y.; Gökçek, Ö.B.  Spatial prediction of PM10 concentration using machine learning algorithms in Ankara, Turkey. Environmental Pollution 2020, p. 114635",2020,Turkey,PM10,"Spatial, Land Use",N/S,3652,No,"Regression, Ensemble, NN",,"RMSE, MAE, R2"
"Feng, R.; Gao, H.; Luo, K.; Fan, J.r.  Analysis and accurate prediction of ambient PM2. 5 in China using Multi-layer Perceptron. Atmospheric Environment 2020, p. 117534",2020,China,PM2.5,MET,Hourly,31,Yes,NN,1h,"RMSE, R"
"Zheng, H.; Cheng, Y.; Li, H. Investigation of model ensemble for fine-grained air quality prediction. China Communications 2020, 17, 207–223",2020,China,"AQHI, IAQL","MET, Temporal",Hourly,730/1826,Yes,Ensemble,12h,"Acc, MSE, WP, WR, WF"
"Guo, Q.; He, Z.; Li, S.; Li, X.; Meng, J.; Hou, Z.; Liu, J.; Chen, Y.; others.  Air Pollution Forecasting Using Artificial and Wavelet Neural Networks with Meteorological Conditions. Aerosol and Air Quality Research 2020, 20, 1429–1439",2020,China,PM10,MET,Daily,1096,No,NN,24h,"RMSE, ME, R, EOp"
"Masmoudi, S.; Elghazel, H.; Taieb, D.; Yazar, O.; Kallel, A. A machine-learning framework for predicting multiple air pollutants’ concentrations via multi-target regression and feature selection. Science of The Total Environment 2020, 715,  136991",2020,"Tunisia, Italy",,"MET, Temporal",Hourly,1461/366,No,Ensemble,1week,"aRRMSE, aRMSE, R2, aCC, MSE, aRE, RP"
"Zhang, Y.; Zhang, R.; Ma, Q.; Wang, Y.; Wang, Q.; Huang, Z.; Huang, L. A feature selection and multi-model fusion-based approach of predicting air quality. ISA transactions 2020,100, 210–220",2020,China,PM2.5,MET,N/S,46,Yes,Ensemble,24h,"RMSE, MAE, SMAPE"
"Zhang, B.; Zhang, H.; Zhao, G.; Lian, J. Constructing a PM2. 5 concentration prediction model by combining auto-encoder with Bi-LSTM neural networks. Environmental Modelling & Software 2020, 124, 104600",2020,China,PM2.5,MET,Hourly,1825,No,NN,1week,RMSE
"Pak, U.; Ma, J.; Ryu, U.; Ryom, K.; Juhyok, U.; Pak, K.; Pak, C.  Deep learning-based PM2. 5 prediction considering the spatiotemporal correlations: A case study of Beijing, China.Science of The Total Environment 2020, 699, 133561",2020,China,PM2.5,MET,N/S,1096,Yes,NN,24h,"RMSE, MAE, MAPE"
"Mo, Y.; Li, Q.; Karimian, H.; Fang, S.; Tang, B.; Chen, G.; Sachdeva, S.  A novel framework for daily forecasting of ozone mass concentrations based on cycle reservoir with regular jumps neural networks. Atmospheric Environment 2020, 220, 117072",2020,China,O3,"MET, UV Index",Daily,1491,Yes,Hybrid,1week,"RMSE, MAE, MAPE, IA"
"Yang, G.; Lee, H.; Lee, G. A Hybrid Deep Learning Model to Forecast Particulate Matter Concentration Levels in Seoul, South Korea. Atmosphere 2020, 11, 348",2020,South Korea,"PM2.5, PM10",MET,Hourly,1461,Yes,Hybrid,15days,"RMSE, MAE"
"Fong, I.H.;  Li, T.;  Fong, S.;  Wong, R.K.;  Tallón-Ballesteros, A.J.   Predicting concentration levels of air pollutants by transfer learning and recurrent neural network. Knowledge-Based Systems 2020, 192, 105622",2020,China,"PM2.5, PM10, NO2, NO, CO",MET,Daily,4656,No,NN,24h,MSE
"Lee, M.; Lin, L.; Chen, C.Y.; Tsao, Y.; Yao, T.H.; Fei, M.H.; Fang, S.H. forecasting Air Quality in taiwan by Using Machine Learning. Scientific Reports 2020, 10, 1–13",2020,Taiwan,PM2.5,"MET, Spatial, Temporal",Hourly,365,Yes,Ensemble,24h,"RMSE, NRMSE, R2"
